,,,,Marketwise Price & Arrival Report (10-09-2026),,,,
,,,Price (Rs./Quintal)  ,,,Arrival (Metric Tonnes)  ,,
Commodity Group,Commodity,MSP (Rs./Quintal) 2026-27,"Price on 10 Sep, 2026","Price on 09 Sep, 2026","Price on 08 Sep, 2026","Arrival on 10 Sep, 2026","Arrival on 09 Sep, 2026","Arrival on 08 Sep, 2026"
Cereals,Bajra(Pearl Millet/Cumbu),2900.00,2308.75,2281.72,2200.52,1205.91,1543.10,1734.04
Cereals,Barley(Jau),2150.00,2600.93,2193.97,2339.69,45.49,145.77,88.84
Cereals,Jowar(Sorghum),4023.00,4351.39,3639.73,4073.07,238.31,318.94,234.50
Cereals,Maize,2410.00,2079.96,2131.92,2148.75,20330.72,18176.44,17749.79
Cereals,Paddy(Common),2441.00,2884.63,2910.00,2775.43,11827.95,10235.48,12089.68
Cereals,Ragi(Finger Millet),5205.00,4348.20,3549.40,3544.40,61.00,351.40,95.30
Cereals,Wheat,2585.00,2649.83,2657.26,2672.83,46953.74,49839.41,47543.60
Fibre Crops,Cotton,8267.00,9474.55,8703.72,8564.40,8674.46,1887.62,1288.36
Oil Seeds,Copra,12100.00,17593.32,17962.08,21203.47,124.50,109.40,115.35
Oil Seeds,Groundnut,7517.00,7175.91,6974.30,6967.62,868.82,549.07,681.84
Oil Seeds,Mustard,6200.00,7437.46,7522.91,7398.10,2870.07,2967.61,2377.37
Oil Seeds,Niger Seed(Ramtil),10052.00,11500.00,-,-,4.30,-,-
Oil Seeds,Safflower,6540.00,5373.14,5081.00,5016.65,20.30,10.80,6.60
Oil Seeds,"Sesamum(Sesame,Gingelly,Til)",10346.00,12091.05,12339.16,11426.33,341.22,357.21,238.37
Oil Seeds,Soyabean,5708.00,5758.28,5882.57,5797.44,5314.65,5614.91,4175.63
Oil Seeds,Sunflower/Sunflower Seed,8343.00,7503.22,7630.16,7568.24,109.00,112.60,178.70
Pulses,Bengal Gram(Gram)(Whole),5875.00,6327.25,6207.47,6347.01,3102.14,3867.47,3378.77
Pulses,Black Gram(Urd Beans)(Whole),8200.00,8573.33,8363.57,8718.22,795.63,1079.44,984.23
Pulses,Green Gram(Moong)(Whole),8780.00,7499.77,7787.65,8156.23,9192.86,8492.05,6194.30
Pulses,Lentil(Masur)(Whole),7000.00,7333.93,7342.10,7572.50,756.08,860.80,635.53
Pulses,Red gram/Arhar/Tur(whole),8450.00,7980.51,8158.52,8077.15,927.96,2197.26,2731.51
Vegetables,Onion,-,3350.55,3550.88,3625.68,20708.62,21662.09,16293.77
Vegetables,Potato,-,669.32,666.82,672.86,36249.78,35384.29,36234.66
Vegetables,Tomato,-,1857.81,1886.99,2009.90,7203.30,7448.80,8900.58

